k,f_b,z,n,error_68_m,error_68_p,error_95_m,error_95_p
0.4204887431174574,0.725,0.125,94.0,-0.00020508827846344105,0.00021566099047945573,-0.00040180104683708784,0.0004398218457737383
0.4204887431174574,0.775,0.125,49.0,-0.00033585851748879565,0.0002955556551228611,-0.0006580405675691862,0.0005788460426494956
0.4204887431174574,0.825,0.125,8.0,-8.68147234462241e-05,6.884548390304057e-05,-0.00017310951481909476,0.00013259362014553914
0.534211750010971,0.225,0.125,6.0,-0.0028339854119101555,0.002821673884425946,-0.0050146819776078115,0.004980897011193216
0.534211750010971,0.275,0.125,12.0,-0.002232342495126214,0.0022809908111096422,-0.004153025560648973,0.004675664552960494
0.534211750010971,0.325,0.125,25.0,-0.0016953592844203159,0.0016743173665613618,-0.003489817470615334,0.0031732172176895117
0.534211750010971,0.375,0.125,24.0,-0.0019352510599463476,0.0017772503591511357,-0.003868119785790835,0.0034233823259716884
0.534211750010971,0.425,0.125,37.0,-0.0013018036936152143,0.0012810586308278525,-0.0024384678211966447,0.0026784099292185303
0.534211750010971,0.475,0.125,41.0,-0.0009544277123990887,0.0009409567326832119,-0.0017855542767286766,0.0019054922786192643
0.534211750010971,0.525,0.125,31.0,-0.0009172378698194504,0.0009854508457908355,-0.0017593411669813697,0.001964447935883741
0.534211750010971,0.575,0.125,38.0,-0.0008371289804688834,0.0008066371266875451,-0.0015436760758301177,0.0017220342527125285
0.534211750010971,0.625,0.125,52.0,-0.0005203110631657784,0.0005118134016156958,-0.000976879753776169,0.0010592127051369472
0.534211750010971,0.675,0.125,73.0,-0.0003713854878422008,0.0003575044625153034,-0.000737864281648234,0.0006868367040097382
0.534211750010971,0.725,0.125,100.0,-0.0003283648097724174,0.00030911950554902843,-0.0006618292462075751,0.0005779771877989995
0.534211750010971,0.775,0.125,51.0,-0.000423539492297865,0.0004042930003517402,-0.0008675584281140169,0.0007711361329961501
